0,1,2,3,4,5,6,7,8
uf76.700,"7,000 m² totales","la gran via, 10221, vitacura",,paño ideal para construccion,venta,terrenos,,
uf52.000,"287,300 m² totales","terreno de 28,73 hectáreas con 622 metros de playa en el lago rapel, lago rapel, el estero - el manzano, las cabras",,terreno construccion  en venta en las cabras,venta,terrenos,,
uf7.200,200 m² útiles,"brigadier de la cruz 762, san miguel, chile, el llano, san miguel",,,venta,bodegas,,
$320.000.000,488 m² útiles,"aldunate 1530, parque o'higgins, santiago",,,venta,bodegas,,
uf16.500,400 m² útiles,"maría graham, recoleta, chile, cementerios, recoleta",,,venta,bodegas,,
uf41.000,"2,500 m² útiles","excelente ubicación cercana a vespucio, ruta 78, aut. central, metro cerrillos, cerrillos",,"excelente ubicación cercana a vespucio, ruta 78, aut.",venta,bodegas,,
uf3.200,400 m² útiles,"tokio 5990, conchalí, región metropolitana, chile, cardenal caro, conchalí",,,venta,bodegas,,
uf5.150,218 m² útiles,"padre agustino gazziero,, mirador viejo, independencia",,propiedad con potencial comercial y habitacionla,venta,bodegas,,
uf8.160,219 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf8.820,239 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf8.820,239 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
$800.000.000,943 m² útiles,"oportunidad inversionistas, comercial bodega., plaza chacabuco, independencia",,,venta,bodegas,,
uf11.560,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf11.430,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf11.440,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf11.450,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
$1.558.000.000,"1,751 m² útiles","gimnasio, centro de eventos y bodega en venta, el copihue, calera de tango",,,venta,bodegas,,
uf11.530,317 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf8.800,239 m² útiles,"ruta 5 / autopista nororiente, lampa",,bodega en venta en lampa,venta,bodegas,,
uf18.490,741 m² útiles,"gran propiedad industrial esquina, excelente ubicación, estación central",,bodega en venta en estación central,venta,bodegas,,
uf17.211,"1,907 m² útiles","club de campo, centro de puerto montt, puerto montt",,,venta,bodegas,,
uf8.960,400 m² útiles,18 dormitorios,"einstein &amp; los conquistadores., recoleta",,bodega en venta en recoleta,venta,bodegas,
uf95.000,"3,586 m² útiles","puerta sur, san bernardo",,puerta sur,venta,bodegas,,
uf30.495,700 m² útiles,"el salto / recoleta / amplia oficina, avenida el salto, recoleta",,,venta,bodegas,,
uf230.000,"13,355 m² útiles","panamericana sur c_385602, buin zoo, buin",,,venta,bodegas,,
uf37.000,"1,251 m² útiles","san agustin, las acacias - chena, san bernardo",,san agustin,venta,bodegas,,
uf60.000,"1,200 m² útiles","sector industria la reina, pepe vila, la reina",,,venta,bodegas,,
uf4,147 m² útiles,"camino santa margarita 0601, las acacias - chena, san bernardo",,bodega en venta en san bernardo,venta,bodegas,,
uf19.157,432 m² útiles,"maría angélica 6520, lo cañas - alto macul, la florida",,,venta,bodegas,,
uf35.000,"2,500 m² útiles","acceso tapihue con ruta 68, casablanca",,,venta,bodegas,,
uf10.900,800 m² útiles,"autop. central / cam los pinos c_387912, las acacias - chena, san bernardo",,,venta,bodegas,,
uf12.690,402 m² útiles,"nueva la obra 2455, einstein, recoleta",,,venta,bodegas,,
uf280.000,"17,520 m² útiles","presidente eduardo frei montalva / san ignacio, quilicura",,,venta,bodegas,,
uf4.000,1 m² útiles,"camino peralillo 500, vicuña",,,venta,bodegas,,
uf44.900,"1,372 m² útiles","sector loteo el taqueral, lampa",,,venta,bodegas,,
uf55.000,"2,600 m² útiles","(bod) santa isabel, valle grande, lampa",,,venta,bodegas,,
uf7.900,310 m² útiles,"júpiter 13, quinta normal, chile, garín - lo besa, quinta normal",,,venta,bodegas,,
$400.000.000,470 m² útiles,"galpón semi-industrial (mapocho altura 5600), quinta normal",,,venta,bodegas,,
uf250,"2,500 m² útiles","el salto, recoleta",,,venta,bodegas,,
uf8.800,239 m² útiles,"sector radial nor oriente, chicauma, lampa",,,venta,bodegas,,
uf8.100,252 m² útiles,"vista hermosa, 311, metro pajaritos, estación central",,bodega cercano a metro pajaritos,venta,bodegas,,
uf8.820,239 m² útiles,"sector radial nor oriente, chicauma, lampa",,,venta,bodegas,,
uf13.063,466 m² útiles,"avenida presidente eduardo frei montalva, quilicura",,bodega ruta 5 norte,venta,bodegas,,
uf3.804,107 m² útiles,"avenida el retiro, renca",,bodega sector el monjito,venta,bodegas,,
uf7.477,233 m² útiles,"avenida vespucio norte, quilicura",,bodega vespucio norte,venta,bodegas,,
uf6.829,257 m² útiles,"calle colo colo, san luis, quilicura",,bodega saladillo,venta,bodegas,,
uf30.885,"1,196 m² útiles","avenida presidente eduardo frei montalva, quilicura",,bodega ruta 5 norte,venta,bodegas,,
uf31.250,527 m² útiles,"ex prt en venta, 4.302 m2 terreno, techo para todos, puerto montt",,,venta,bodegas,,
uf9.481,303 m² útiles,"avenida el retiro, renca",,bodega sector el monjito,venta,bodegas,,
uf8.373,322 m² útiles,"calle colo colo, quilicura",,bodega saladillo,venta,bodegas,,
uf13.300,270 m² útiles,"av. recoleta / metro einstein, einstein, recoleta",,,venta,bodegas,,
$290.000.000,403 m² útiles,"los zapadores / héroes de la concepción / vespucio norte, recoleta",,,venta,bodegas,,
uf400,12 m² totales,"ramon subercaseaux 1268, san miguel, región metropolitana, chile, el llano, san miguel",,"ramon subercaseaux 1268, san miguel, región metropolitana",venta,estacionamientos,,
uf250,"avenida pedro de valdivia 3712 - estacionamiento 21, ñuñoa",,,venta,estacionamientos,,,
$14.900.000,14 m² útiles,"galvarino gallardo 1955, providencia, chile, pedro de valdivia, providencia",,,venta,estacionamientos,,
$25.000.000,23 m² útiles,"namur 29, lastarria, santiago, chile, barrio lastarria, santiago",,,venta,estacionamientos,,
uf300,"avenida los pajaritos 3000, metro santiago bueras, maipú",,,venta,estacionamientos,,,
uf48.520,"1,080 m² totales","rafael sotomayor esquina moneda, santiago",,estacionamiento en venta en santiago,venta,estacionamientos,,
$550.000.000,700 m² totales,"ruiz tagle con calle antofagasta, estación central",,estacionamiento en venta en estación central,venta,estacionamientos,,
uf690,"agustinas, centro histórico de santiago, santiago",,,venta,estacionamientos,,,
$140.000.000,"estacionamiento quilpué, centro de quilpué, quilpué",,,venta,estacionamientos,,,
$11.900.000,"santa isabel / luis beltran, barrio italia, providencia",,,venta,estacionamientos,,,
"uf2,70","arriendo de estacionamiento- a 5 minutos del metro m.montt- maiten propiedades, manuel montt, providencia",,arriendo de estacionamiento- a 5 minutos del metro m.montt-,venta,estacionamientos,,,
$14.500.000,"estacionamiento subterraneo, calle el trovador, metro escuela militar, las condes",,,venta,estacionamientos,,,
uf21.500,"estacionamiento merced con miraflores / edificio estacionamientos piso 8, centro histórico de santiago, santiago",,estacionamiento merced con miraflores / edificio,venta,estacionamientos,,,
$23.500.000,"varios estacionamientos merced miraflores huérfanos, centro histórico de santiago, santiago",,,venta,estacionamientos,,,
uf650,"el dante / escuela militar, metro escuela militar, las condes",,,venta,estacionamientos,,,
uf390,"metro universidad de santiago, estación central",,,venta,estacionamientos,,,
$20.500.000,"guadia vieja / avenida providencia, los leones, providencia",,,venta,estacionamientos,,,
$21.900.000,"san diego 12345, parque o'higgins, santiago",,,venta,estacionamientos,,,
uf350,"subterraneo, condominio bosques de la piramide, bosques de la pirámide, huechuraba",,,venta,estacionamientos,,,
uf515,14 m² útiles,"jardin de las hualtatas, pío xi, vitacura",,,venta,estacionamientos,,
uf15.180,690 m² totales,"clavero y tocornal grez, plaza de puente alto, puente alto",,estacionamiento en venta en puente alto,venta,estacionamientos,,
uf700,"metro el golf, barrio el golf, las condes",,,venta,estacionamientos,,,
uf270,"avenida lazo 1314, san miguel",,estacionamiento en venta en san miguel,venta,estacionamientos,,,
uf8.000,4 dormitorios,"infante con irarrázabal, ñuñoa",,estacionamiento en venta en ñuñoa,venta,estacionamientos,,
uf480,"estacionamiento en subterráneo - pasos estadio manquehue, estadio manquehue, vitacura",,,venta,estacionamientos,,,
uf480,"estacionamiento en subterráneo - pasos estadio manquehue, pedro de valdivia, providencia",,,venta,estacionamientos,,,
$70.000,"luz 2965, centro financiero, las condes",,,venta,estacionamientos,,,
$18.450.000,"san francisco 75, bulnes, santiago",,,venta,estacionamientos,,,
uf690,1 m² totales,"santiago, barrio brasil, santiago",,se vende estacionamiento centro de santiago,venta,estacionamientos,,
uf6.390,380 m² totales,"mapocho a pasos de ferretería imperial, garín - lo besa, quinta normal",,estacionamiento en venta en quinta normal,venta,estacionamientos,,
$285.000.000,372 m² totales,3 dormitorios,"av alemania sector rodriguez, temuco",,estacionamiento en venta en temuco,venta,estacionamientos,
$170.000.000,"5 poniente, centro de talca, talca",,estacionamiento en venta en talca,venta,estacionamientos,,,
uf28.000,"5,000 m² totales","santa rosa lote uno 5000 m2, alto hospicio",,estacionamiento en venta en alto hospicio,venta,estacionamientos,,
uf2.700,2 dormitorios,"av alemania las delicias, temuco",,estacionamiento en venta en temuco,venta,estacionamientos,,
$149.000.000,"5,000 m² totales",1 dormitorio,"camino internacional curarrehue, pucón",,estacionamiento en venta en pucón,venta,estacionamientos,
uf22.069,600 m² totales,"zona centro quillota, centro de quillota, quillota",,estacionamiento en venta en quillota,venta,estacionamientos,,
uf12.000,812 m² totales,"propiedad comercial en pleno centro de los ángeles, a 3 cuadras de la plaza de armas, centro de los ángeles, los ángeles",,estacionamiento en venta en los angeles,venta,estacionamientos,,
uf418,"kennedy // pio xi, pío xi, vitacura",,estacionamiento en venta en vitacura,venta,estacionamientos,,,
uf520,"santa isabel 765, san diego, santiago",,,venta,estacionamientos,,,
$250.000.000,312 m² totales,"talca, centro de puerto montt, puerto montt",,estacionamiento en venta en puerto montt,venta,estacionamientos,,
uf35.000,"5,000 m² totales","santa rosa lote tres 5.000 m2, alto hospicio",,estacionamiento en venta en alto hospicio,venta,estacionamientos,,
uf23.000,"1,000 m² totales",4 dormitorios,"rbf - ideal para proyectos inmobiliarios - calle paraguay / r. magallanes 3d 2b a pasos de todo, rojas magallanes, la florida",,estacionamiento en venta en la florida,venta,estacionamientos,
$13.500.000,"estacionamiento en arlegui, v. del mar, centro de viña del mar, viña del mar",,estacionamiento en venta en viña del mar,venta,estacionamientos,,,
$23.000.000,"miraflores / merced, centro histórico de santiago, santiago",,estacionamiento en venta en santiago,venta,estacionamientos,,,
$35.000.000,12 m² útiles,"estacionamiento con bodega, providencia",,,venta,estacionamientos,,
uf380,"metro irarrazaval / vicuña mackenna / muji, metro irarrázaval, ñuñoa",,,venta,estacionamientos,,,
$99.900.000,2 dormitorios,"plaza de armas manuel montt con arturo prat, centro de temuco, temuco",,estacionamiento en venta en temuco,venta,estacionamientos,,
uf520,"el dante con americo vespucio, metro escuela militar, las condes",,estacionamiento en venta en las condes,venta,estacionamientos,,,
$17.205.000,"kennedy / luis carrera, parque arauco, las condes",,,venta,estacionamientos,,,
uf900,"2 estacionamiento y amplia bodega - ñuble / san diego, franklin - biobío, santiago",,,venta,estacionamientos,,,
uf196.000,"5,700,000 m² totales",purranque,,fundo de 570 ha. a 43 km de frutillar. oportunidad,venta,loteos,,
uf5.800,"2,550 m² totales","camino el almendral, 6492, huechuraba",,terreno de 2.550m con hermosa vista en condominio,venta,loteos,,
uf55.556,las condes,,venta de bodega y viñedos  en argentina.,venta,loteos,,,
uf3.100,"6,297 m² totales","casas de chacabuco,, casas de chacabuco, colina",,"terreno en venta hacienda chacabuco, colina",venta,loteos,,
$14.500.000,"5,000 m² totales","hacienda añihuarraqui,, curarrehue",,parcelas valle escondido- exito de ventas!!,venta,loteos,,
uf4.520,"12,485 m² totales","el pellizco parcela 1, lote b,, paine",,"en venta terreno sector el vinculo, paine.",venta,loteos,,
$60.000.000,"10,000 m² totales","cerrillos,, villa alegre",,vendo hermosa parcela en cerrillos villa alegre,venta,loteos,,
$26.000.000,"5,000 m² totales","alba,, quillota",,parcelas  el alba de quillota - valparaiso,venta,loteos,,
uf15.200,744 m² totales,quinta normal,,"galpón / bodega, casa y oficina en quinta normal",venta,loteos,,
uf52.027,"10,069 m² totales","camino la herradura,, lampa",,terreno industrial en avenida principal,venta,loteos,,
$260.000.000,"5,000 m² totales","las pataguas,, quillota",,el alba de quillota,venta,loteos,,
$800.000.000,500 m² totales,"lolol,, lolol",,maravillosa parcela en plena ruta del vino,venta,loteos,,
uf1.898,"quebrada escobares,, villa alemana",,gran oportunidad de parcela en entorno natural,venta,loteos,,,
uf8.300,"5,000 m² totales","parcela en condominio polo iv,, chicureo, colina",,no te lo pierdas!  sitio en condominio polo iv,venta,loteos,,
uf11.500,"5,152 m² totales",colina,,terreno en exclusivo condominio,venta,loteos,,
uf8.000,"5,000 m² totales","algarrobos iv, 95, colina",,terreno en condominio consolidado de chicureo,venta,loteos,,
$190.000.000,"10,000 m² totales","lago espolon,, futaleufú",,lago espolon - potencial comercial,venta,loteos,,
uf7.500,"5,000 m² totales","lo arcaya,, chicureo, colina",,magnifico terreno en lindo condominio en chicureo,venta,loteos,,
$75.000.000,"10,328 m² totales","monterrey,, curacaví",,vendo parcela en monterrey,venta,loteos,,
uf8.500,"5,099 m² totales","parcela en condominio polo iv,, colina",,excelente terreno central en condominio polo iv,venta,loteos,,
$180.000.000,"10,000 m² totales","lago loconao,, futaleufú",,lago lonconao - potencial comercial,venta,loteos,,
uf20.000,1 m² útiles,"lago ranco, futrono",,terreno  en exclusivo condominio puerto caiquenes,venta,loteos,,
uf11.950,"13,791 m² totales","ruta 5 sur km 215,, molina",,venta terreno industrial,venta,loteos,,
uf11.950,"13,791 m² totales","ruta 5 sur km 215,, molina",,venta terreno,venta,loteos,,
uf7.600,"7,760 m² totales","parcela en condominio cerro la pava,, colina",,gran terreno cerro la pava-chicureo,venta,loteos,,
uf45.200,"877,000 m² totales",maule,,terreno agrícola con alto potencial,venta,loteos,,
uf5.900,"5,000 m² totales","chicureo, colina",,"37 sitios de 5.000 mts., urbanización de lujo.",venta,loteos,,
uf15.000,"1,064 m² totales","av. colombia, 10413, san josé de la estrella, la florida",,nuevo precio !!! propiedad en la florida,venta,loteos,,
$16.600.000,"5,000 m² totales","yatehue alto,, queilén",,parcelas reserva pudu chiloe,venta,loteos,,
$9.900.000,"5,000 m² totales","camino longitudinal 328,, ovalle",,gran oportunidad!! parcela vista al mar iv región,venta,loteos,,
uf6.875,"5,012 m² totales","centro de colina, colina",,"excelente terreno chicureo, plusvalía-conectividad",venta,loteos,,
"uf24.910,22","22,645 m² totales","portales, 198, tiltil",,gran terrero en sector urbano de tiltil,venta,loteos,,
uf12.500,"5,000 m² totales",huechuraba,,"terreno en condominio, excelente vista y ubicación",venta,loteos,,
uf9.500,"23,200 m² totales","hijuleas  caleu, 115, tiltil",,terreno caleu. sector lo marín,venta,loteos,,
uf10.245,1 m² útiles,"centro de osorno, osorno",,magnífico campo con bosque nativo a 18km de osorno,venta,loteos,,
$15.000.000,"5,000 m² totales","termas huife,, pucón",,remax vende parcela de agrado llancalil alto,venta,loteos,,
$100.000.000,"100,000 m² totales","cumbre la bola,, maullín",,atractivo campo para la agricultura y conservacion,venta,loteos,,
$160.000.000,"10,000 m² totales","rio futaleufu,, futaleufú",,río futaleufu potencial comercial,venta,loteos,,
$125.000.000,"50,000 m² totales","zona san antonio,, puerto montt",,terreno de 5 has - zona san antonio puerto montt,venta,loteos,,
uf7.743,1 m² útiles,"maitencillo, puchuncaví",,espectacular terreno en maitencillo en tranquilo condominio,venta,loteos,,
uf3.419,1 m² útiles,"ruta 225, ruta 225 ensenada, puerto varas",,"oportunidad, parcela en venta",venta,loteos,,
uf4.950,1 m² útiles,"peñuelas, coquimbo",,terreno de 1000 m2 en el rosario de peñuelas.,venta,loteos,,
$52.000.000,"5,000 m² totales","curarrehue,, curarrehue",,re/max cordillera vende parcela curarrehue(caren),venta,loteos,,
uf8.500,"4,000 m² totales","chicureo, colina",,precioso sitio en condominio las brisas,venta,loteos,,
uf25.000,1 m² útiles,"zapallar norte primera línea, zapallar",,asombroso sitio  zapallar norte,venta,loteos,,
uf13.000,1 m² útiles,"camino la empedrada, centro de zapallar, zapallar",,fundo zapallar con vista al mar gran terreno,venta,loteos,,
uf7.450,"5,000 m² totales","los algarrobos,, colina",,maravillos sitio en condominio consolidado,venta,loteos,,
uf19.400,"1,135 m² totales","ramón toro ibañez,, macul",,venta paño ramón toro ibañez / av. departamental,venta,loteos,,
uf13.000,1 m² útiles,"centro de zapallar, zapallar",,terreno en lomas de zapallar,venta,loteos,,
uf26.500,1 m² útiles,"cachagua pueblo, zapallar",,excelente ubicación en el pueblo de cachagua,venta,loteos,,
uf40.000,720 m² útiles,15 dormitorios,"cerro alegre/ hotel boutique, valparaíso",,hotel en venta en valparaíso,venta,otros inmuebles,
uf11.104,"1,978 m² útiles","valle verde hijuela 54  - código sbif: lstg437, coronel",,sbif lstg437 - valle verde hijuela 54,venta,otros inmuebles,,
uf63.488,"1,967 m² útiles",29 dormitorios,"huasco 143 - código sbif: lstg459, centro de puerto montt, puerto montt",,sbif lstg459 - huasco 143,venta,otros inmuebles,
$280.000.000,"15,186 m² útiles","sector caren,, curarrehue",,equipo re/max vende propiedad comercial,venta,otros inmuebles,,
uf6.000,322 m² útiles,providencia,,venta derecho de llaves: restaurante providencia,venta,otros inmuebles,,
$15.000.000,80 m² útiles,"huérfanos, 1160, centro histórico de santiago, santiago",,derecho llaves cafeteria y restaurant- huérfanos,venta,otros inmuebles,,
uf104.940,930 m² útiles,"restaurante típico, en pleno corazón de santiago, meiggs, santiago",,,venta,otros inmuebles,,
uf10.000,350 m² útiles,5 dormitorios,"hostal centro ensenada 5d y 5b en parcela a 10.000uf, camino a ensenada, puerto varas",,,venta,otros inmuebles,
uf30.000,200 m² útiles,"inversión, complejo turístico funcionando, linares",,,venta,otros inmuebles,,
uf75.400,966 m² útiles,casablanca,,hotel cabañas turisticas  en algarrobo spa.,venta,otros inmuebles,,
uf75.000,892 m² útiles,"el golf, barrio el golf, las condes",,,venta,otros inmuebles,,
uf15.200,743 m² útiles,quinta normal,,"galpón / bodega, casa y oficina en quinta normal",venta,otros inmuebles,,
uf39.100,252 m² útiles,3 dormitorios,"vivienda en venta fines comerciales o desarrollo, francisco de villagra, la reina",,,venta,otros inmuebles,
$358.000.000,420 m² útiles,14 dormitorios,"central con bailahuen norte, la florida",,otros en venta en la florida,venta,otros inmuebles,
uf12.000,62 m² útiles,"excelente local para proyecto de inversi, sur de calama, calama",,,venta,otros inmuebles,,
$400.000.000,467 m² útiles,"cerro florida, valparaíso",,oportunidad inversionistas - hostel valparaiso,venta,otros inmuebles,,
uf24.000,300 m² útiles,4 dormitorios,"dario urzua / eleodoro yañez, providencia",,,venta,otros inmuebles,
uf13.000,835 m² útiles,"nueva extremadura,, salvador gutiérrez, quinta normal",,excelente galpon con gran conectividad,venta,otros inmuebles,,
uf10.714,320 m² útiles,"complejo turistico, puerto octay",,,venta,otros inmuebles,,
uf33.575,274 m² útiles,"gran terreno en venta con fines comerciales, francisco de villagra, la reina",,,venta,otros inmuebles,,
uf15.000,"1,064 m² útiles","av. colombia, 10413, san josé de la estrella, la florida",,nuevo precio !!! propiedad en la florida,venta,otros inmuebles,,
uf28.000,"5,000 m² útiles","galpon a estrenar ruta 5 -camino liray,, colina",,galpon ruta 5 peaje lampa,venta,otros inmuebles,,
uf35.000,"1,000 m² útiles","gruta de lourdes, quinta normal",,maravilloso hotel funcionando con cafetería.,venta,otros inmuebles,,
uf40.000,820 m² útiles,25 dormitorios,"hotel en el centro de santiago, centro histórico de santiago, santiago",,,venta,otros inmuebles,
uf2.260,28 m² útiles,"pedro de valdivia / carlos antu c_389148, pedro de valdivia, providencia",,,venta,otros inmuebles,,
uf480,6 m² útiles,"parque arauco, las condes",,excelente portunidad de negocio!!!,venta,otros inmuebles,,
uf21.800,980 m² útiles,"lodge de montaña en el valle de las trancas, chillán oriente, chillán",,,venta,otros inmuebles,,
uf12.182,430 m² útiles,5 dormitorios,"casa en parcela  se vende a puertas cerradas. camino cerro colorado, sor vicenta, los ángeles",,casa en parcela  se vende a puertas cerradas. camino cerr...,venta,otros inmuebles,
uf18.000,935 m² útiles,"bodega con oficinas terreno industrial 1.200m2! av. lo espejo a 2 cuadras de autopista central, el bosque, metro la cisterna, la cisterna",,galpón en venta en el bosque,venta,otros inmuebles,,
uf10.480,392 m² útiles,8 dormitorios,"camino botrolhue a 1 minuto barrio ingles temuco, temuco",,otros en venta en temuco,venta,otros inmuebles,
$150.000.000,50 m² útiles,2 dormitorios,"espectaculares cabañas en sector lago caburgua, caburga, pucón",,,venta,otros inmuebles,
$700.000.000,650 m² útiles,5 dormitorios,"cabañas de ecoturismo elqui wellness en cochiguaz, valle de elqui, paiguano",,"cabañas de ecoturismo elqui wellness en cochiguaz, valle ...",venta,otros inmuebles,
$265.000.000,144 m² útiles,4 dormitorios,"hermosa casa y complejo turístico a 2 km de playa en licán ray - precio reducido, lican ray, villarrica",,hermosa casa y complejo turístico a 2 km de playa en licá...,venta,otros inmuebles,
uf38.900,"3,920 m² útiles","valle colchagua, marchihue",,otros en venta en marchigüe,venta,otros inmuebles,,
uf19.912,"335,000 m² totales","la union, la unión",,ganaderas en venta en la unión,venta,otros inmuebles,,
uf18.000,"hotel radisson, playa amarilla, concón",,otros en venta en concón,venta,otros inmuebles,,,
uf29.800,486 m² útiles,"espectacular hotel en pichilemu!!,, punta de lobos, pichilemu",,espectacular hotel en pichilemu,venta,otros inmuebles,,
uf100.000,"1,988 m² útiles",26 dormitorios,"camino a caburga, pucón",,otros en venta en pucón,venta,otros inmuebles,
uf19.919,"1,060 m² útiles","chiloe 1625, santiago",,galpón en venta en santiago,venta,otros inmuebles,,
$700.000.000,"34,767 m² útiles",12 dormitorios,"centro reñaca, reñaca, viña del mar",,otros en venta en viña del mar,venta,otros inmuebles,
uf11.499,300 m² útiles,7 dormitorios,"cabañas comerciales, maitencillo, puchuncaví",,,venta,otros inmuebles,
uf22.000,298 m² útiles,"seminario, plaza italia, providencia",,,venta,otros inmuebles,,
uf16.000,620 m² útiles,8 dormitorios,"excelente casona para restaurant y hostería!!!, llanquihue",,,venta,otros inmuebles,
uf29.000,350 m² útiles,"granja, media luna y criadero caballos, batuco, lampa",,,venta,otros inmuebles,,
uf14.700,345 m² útiles,"vista despejada a bahía de la herradura, la herradura, coquimbo",,otros en venta en coquimbo,venta,otros inmuebles,,
uf120.342,"6,480,000 m² totales","hueimén, lago ranco",,ganaderas en venta en lago ranco,venta,otros inmuebles,,
uf25.000,205 m² útiles,"barrio brasil, santiago",,hermosa propiedad de los años 40 remodelada,venta,otros inmuebles,,
uf27.900,680 m² útiles,8 dormitorios,"cerro concepción, cerro concepción, valparaíso",,inversión en venta en valparaíso,venta,otros inmuebles,
uf23.000,300 m² útiles,"exclusivo restaurante, localidad de pichilemu, pichilemu",,,venta,otros inmuebles,,
uf30.000,"15,000 m² útiles",23 dormitorios,"en venta, hermoso hotel con cabañas ubicado en mamiña, pozo almonte",,,venta,otros inmuebles,
"uf8,92",25 - 53 m² útiles,1 - 2 dormitorios,1 - 2 baños,"ejército 71, santiago",home inclusive be you,,arriendo,departamentos
"uf11,73",28 - 101 m² útiles,1 - 3 dormitorios,1 - 2 baños,"tucapel 261, metro irarrázaval, ñuñoa",edificio seminario,,arriendo,departamentos
"uf17,84",36 m² útiles,1 dormitorio,1 baño,"san francisco de asís 115, san damián, las condes",cantagallo all-in,,arriendo,departamentos
"uf15,10",36 - 45 m² útiles,1 dormitorio,1 baño,"la gloria 47, nueva las condes, las condes",the place live y meet,,arriendo,departamentos
"uf9,24",27 - 53 m² útiles,1 - 2 dormitorios,1 - 2 baños,"gran avenida 6321, ciudad del niño, san miguel",level 10 avenida,,arriendo,departamentos
"uf9,64",30 - 43 m² útiles,1 dormitorio,1 baño,"josé miguel carrera 269, santiago",edificio josé miguel carrera ii,,arriendo,departamentos
"uf9,70",29 - 55 m² útiles,1 - 3 dormitorios,1 - 2 baños,"álvarez de toledo 764, el llano, san miguel",parque toledo,,arriendo,departamentos
"uf18,23",36 - 68 m² útiles,1 - 2 dormitorios,1 - 2 baños,"manquehue norte 966, parque arauco, las condes",nk,,arriendo,departamentos
"uf8,57",32 - 75 m² útiles,1 - 3 dormitorios,1 - 2 baños,"morandé 696, centro histórico de santiago, santiago",edificio alto morandé 696,,arriendo,departamentos
"uf12,40",42 - 77 m² útiles,1 - 2 dormitorios,1 - 2 baños,"santo domingo 1410, centro histórico de santiago, santiago",park santiago centro,,arriendo,departamentos
"uf8,60",16 - 41 m² útiles,1 dormitorio,1 baño,"san pío x 2555, metro tobalaba - mall costanera, providencia",pío x,,arriendo,departamentos
"uf9,27",26 - 44 m² útiles,1 - 3 dormitorios,1 baño,"nueva andrés bello 1826, independencia",level el molino,,arriendo,departamentos
"uf10,20",29 - 56 m² útiles,1 - 2 dormitorios,1 - 2 baños,"argomedo 344, santa isabel, santiago",besalco argomedo santiago,,arriendo,departamentos
$400.000,35 m² útiles,1 dormitorio,"irarrázaval 200, ñuñoa, chile, metro irarrázaval, ñuñoa",,,arriendo,departamentos,
$295.000,45 m² útiles,2 dormitorios,"cóndor 1107, santiago, chile, santiago",,,arriendo,departamentos,
$450.000,70 m² útiles,3 dormitorios,"tomás andrews 054, providencia, chile, barrio italia, providencia",,,arriendo,departamentos,
$245.000,40 m² útiles,1 dormitorio,"avenida presidente balmaceda, santiago, chile, parque los reyes, santiago",,,arriendo,departamentos,
$585.000,80 m² útiles,2 dormitorios,"carlos wilson 1345, providencia, chile, inés de suárez, providencia",,,arriendo,departamentos,
$330.000,52 m² útiles,2 dormitorios,"serrano 266, santiago, chile, bulnes, santiago",,,arriendo,departamentos,
$490.000,40 m² útiles,1 dormitorio,"málaga 79, las condes, chile, barrio el golf, las condes",,,arriendo,departamentos,
$499.000,67 m² útiles,3 dormitorios,"avenida portugal 38, santiago, chile, barrio san borja, santiago",,,arriendo,departamentos,
$380.000,57 m² útiles,2 dormitorios,"fernando lazcano 1450, san miguel, chile, el llano, san miguel",,,arriendo,departamentos,
$360.000,45 m² útiles,2 dormitorios,"padre orellana 1656, santiago, chile, bogotá - sierra bella, santiago",,,arriendo,departamentos,
$390.000,41 m² útiles,2 dormitorios,"eleuterio ramírez 780, santiago, chile, san diego, santiago",,,arriendo,departamentos,
uf15,55 m² útiles,1 dormitorio,"carmen sylva 2760, providencia, chile, las lilas, providencia",,,arriendo,departamentos,
uf45,140 m² útiles,3 dormitorios,"chapultepec 5545, vitacura, chile, estadio manquehue, vitacura",,,arriendo,departamentos,
$515.000,69 m² útiles,2 dormitorios,"dublé almeyda 1730, ñuñoa, chile, metro monseñor eyzaguirre, ñuñoa",,,arriendo,departamentos,
uf150,263 m² útiles,3 dormitorios,"elegante departamento amoblado con jardín, las condes",,departamento en arriendo de 3 dorm. en las condes,arriendo,departamentos,
$199.900,32 m² útiles,1 dormitorio,"avenida ecuador 4578, santiago, estación central, chile, metro ecuador, estación central",,,arriendo,departamentos,
$340.000,42 m² útiles,2 dormitorios,"la coruña 4789, santiago, estación central, región metropolitana, chile, metro ecuador, estación central",,"la coruña 4789, santiago, estación central",arriendo,departamentos,
$290.000,30 m² útiles,1 dormitorio,"moneda 2131, santiago, chile, barrio brasil, santiago",,,arriendo,departamentos,
